Country Name,Year,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes, tertiary (%)","Informal employment, female (% of total non-agricultural employment)","Informal employment, male (% of total non-agricultural employment)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Labor force with advanced education (% of total working-age population with advanced education),"Labor force with advanced education, female (% of female working-age population with advanced education)","Labor force with advanced education, male (% of male working-age population with advanced education)","Labor force, female","Labor force, female (% of total labor force)","Labor force, male","Labor force, total","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Population ages 15-64, female","Population ages 15-64, male","Population ages 15-64, total",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Ratio of female to male labor force participation rate (%) (national estimate)
Afghanistan,2000,..,..,..,65.83999634,78.79000092,63.65000153,9.479999542,11.39000034,9.159999847,24.68000031,9.819999695,27.19000053,12.74600029,..,..,..,14.79500008,15.35,76.64600372,80.57,46.65999985,49.05,..,..,..,761737,15.37228506,4193552,4955262,..,..,..,4901895,5241777,10143670,19.30302867,..
Afghanistan,2001,..,..,..,66.29000092,79.63999939,64.01999664,8.979999542,10.59000015,8.710000038,24.71999931,9.770000458,27.27000046,12.86800003,..,..,..,14.93599987,15.5,76.58899689,80.54,46.75099945,49.17,..,..,..,799335,15.46200909,4370278,5169671,..,..,..,5097016,5469968,10567001,19.50149562,..
Afghanistan,2002,..,..,..,64.41999817,78.72000122,61.97000122,9.989999771,11.43000031,9.75,25.59000015,9.840000153,28.29000092,12.94400024,..,..,..,15.11299992,15.7,76.49099731,80.53,46.85200119,49.33,..,..,..,847041,15.57663684,4590859,5437894,..,..,..,5339888,5756830,11096697,19.7578806,..
Afghanistan,2003,..,..,..,63.70000076,78.38999939,61.15000153,10.35000038,11.52000046,10.14999962,25.95000076,10.10000038,28.70999908,13.12199974,..,..,..,15.29800034,15.92,76.39299774,80.54,46.95100021,49.51,..,..,..,900596,15.7019962,4834963,5735551,..,..,..,5610866,6074051,11684838,20.02539603,..
Afghanistan,2004,..,..,..,63.27000046,78.95999908,60.50999832,10.60999966,11.06999969,10.52000046,26.12000084,9.979999542,28.96999931,13.30099964,..,..,..,15.47500038,16.13,76.33200073,80.58,47.0379982,49.67,..,..,..,954934,15.83596455,5075319,6030160,..,..,..,5883477,6384124,12267512,20.27328019,..
Afghanistan,2005,..,..,..,62.15000153,78.08999634,59.29999924,11.32999992,11.52999973,11.28999996,26.53000069,10.38000011,29.40999985,13.40699959,..,..,..,15.64400005,16.33,76.31800079,80.65,47.11299896,49.8,..,..,..,1007240,15.98300461,5294733,6301944,..,..,..,6140838,6663946,12804785,20.49844059,..
Afghanistan,2006,..,..,..,61.27999878,77.63999939,58.38999939,11.78999996,11.80000019,11.78999996,26.93000031,10.56999969,29.81999969,13.26299953,..,..,..,15.45499992,16.12,76.42199707,80.73,46.99599838,49.66,..,..,..,1025508,15.87237073,5435495,6460963,..,..,..,6325599,6827106,13152676,20.22323482,..
Afghanistan,2007,..,..,..,60.13999939,76.37999725,57.29000092,12.19999981,12.68999958,12.10999966,27.65999985,10.93000031,30.60000038,13.07299995,..,..,..,15.27499962,15.91,76.56700134,80.81,46.88700104,49.49,..,..,..,1039831,15.77555205,5551616,6591408,..,..,..,6487043,6955667,13442717,19.949847,..
Afghanistan,2008,..,..,..,59.29000092,76.16000366,56.36000061,12.47999954,12.92000008,12.39999962,28.22999954,10.92000008,31.23999977,12.98900032,..,..,..,15.13700008,15.74,76.71199799,80.83,46.79700089,49.32,..,..,..,1055495,15.71473811,5661081,6716593,..,..,..,6642357,7076163,13718559,19.73224591,53.37640228
Afghanistan,2009,..,..,..,56.88999939,74.22000122,53.88999939,13.63000011,14.81000042,13.43000031,29.47999954,10.97000027,32.68000031,12.89900017,..,..,..,15.07600021,15.65,76.81300354,80.78,46.73799896,49.16,..,..,..,1079171,15.71355081,5788610,6867773,..,..,..,6815683,7223804,14039528,19.62688545,..
Afghanistan,2010,..,..,..,54.58000183,72.90000153,51.38999939,14.65999985,16.44000053,14.34000015,30.77000046,10.64999962,34.27000046,12.92199993,..,..,..,15.11100006,15.65,76.84200287,80.63,46.71699905,49.03,..,..,..,1115323,15.78503191,5950341,7065700,..,..,..,7023445,7421549,14444996,19.66502628,..
Afghanistan,2011,..,..,..,53.56000137,72.41000366,50.20000076,14.75,17.29999924,14.28999996,31.69000053,10.30000019,35.50999832,13.26900005,..,..,..,15.45400047,16,76.65899658,80.39,46.82600021,49.13,..,..,..,1186468,16.08654783,6189061,7375529,17.01783943,45.417099,31.44885063,7302694,7739084,15041824,20.15940876,..
Afghanistan,2012,..,..,..,51.40000153,70.94999695,47.81000137,15.77000046,18.97999954,15.18000031,32.83000183,10.06999969,37.00999832,13.58399963,..,..,..,15.87899971,16.44,76.41999817,80.13,46.95999908,49.27,..,..,..,1273982,16.45427777,6468554,7742558,..,..,..,7627967,8115940,15743958,20.77859211,20.77871459
Afghanistan,2013,..,..,..,49.81999969,69.98999786,45.88000107,16.32999992,20.11000061,15.59000015,33.84999847,9.899999619,38.52999878,14.40100002,..,..,..,16.79400063,17.42,75.58799744,79.43,47.02999878,49.46,..,..,..,1411303,17.34518993,6725199,8136567,..,..,..,7986446,8533346,16519812,22.21781393,..
Afghanistan,2014,..,..,..,48.40999985,69.18000031,44.09000015,16.77000046,21.09000015,15.88000011,34.81999969,9.729999542,40.02999878,15.23700047,3.41704,..,..,17.74900055,18.46,74.73699951,78.74,47.09999847,49.65,84.29000092,67.79000092,87.15000153,1561449,18.27534132,6982521,8544021,..,..,..,8358558,8963516,17322062,23.74861269,33.44577072
Afghanistan,2015,..,..,..,47.06999969,68.59999847,42.29999924,17.17000008,21.87999916,16.12999916,35.75999832,9.529999733,41.56999969,16.10400009,..,..,..,18.74600029,19.55,73.875,78.05,47.16999817,49.86,..,..,..,1722620,19.25133881,7225364,8948053,..,..,..,8730445,9386355,18116800,25.3752965,..
Afghanistan,2016,..,..,..,45.81000137,67.55999756,40.65999985,17.31999969,22.94000053,15.98999977,36.86999893,9.510000229,43.34999847,17.00900078,..,..,..,19.79800034,20.7,73.04499817,77.33,47.24000168,50.03,..,..,..,1891881,20.31029905,7423063,9314885,..,..,..,9076529,9750113,18826589,27.10384124,..
Afghanistan,2017,..,..,..,43.99000168,66.22000122,38.36000061,18.03000069,24.28000069,16.44000053,37.99000168,9.5,45.20000076,17.95000076,..,..,..,20.88699913,21.91,72.18299866,76.58,47.31000137,50.21,64.68000031,48.63999939,70.11000061,2070282,21.40786225,7600331,9670662,..,..,..,9413852,10100169,19513959,28.93617544,28.93657602
Afghanistan,2018,..,..,..,43.13000107,65.76999664,37.25999832,18.45999908,24.51000023,16.88999939,38.40999985,9.720000267,45.84999847,18.25300026,..,..,..,21.22800064,22.32,72.02300262,76.51,47.37599945,50.35,..,..,..,2178963,21.74148565,7843248,10022144,..,..,..,9749017,10444644,20193609,29.47391787,..
Afghanistan,2019,..,..,..,42.5,64.95999908,36.59999847,18.54999924,25.02000046,16.85000038,38.95999908,10.02000046,46.54999924,18.53300095,..,..,..,21.56599998,22.74,71.86299896,76.44,47.43999863,50.49,..,..,..,2291711,22.07381521,8090385,10382034,..,..,..,10092939,10796549,20889465,30.00988032,..
Afghanistan,2020,..,..,..,..,..,..,..,..,..,..,..,..,13.45899963,..,..,..,16.18899918,..,65.58000183,..,41.58000183,..,57.75,34.02999878,65.13999939,1781588,18.91919244,7635194,9416829,..,..,..,10452059,11164198,21616257,24.6858779,24.68581823
Afghanistan,2021,1.152999997,4.250639915,3.067980051,..,..,..,..,..,..,..,..,..,12.01299953,..,..,..,14.84799957,..,66.51499939,..,41.39099884,..,..,..,..,1691187,17.44313918,8004415,9695428,22.60078049,52.06343079,37.2660408,..,..,..,22.3227839,..
Australia,1990,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.2179985,61.9,75.54399872,85.08,63.75,73.62,..,..,..,3510395,41.416226,4965464,8475893,..,..,..,5639885,5768446,11408332,69.12262971,69.1229032
Australia,1991,..,..,..,5.360000134,3.849999905,6.440000057,23.51000023,12.07999992,31.70999908,71.13999939,84.08000183,61.84999847,47.1969986,..,..,..,51.95000076,61.66,74.59600067,84.21,63.13999939,73.05,..,..,..,3548295,41.62234592,4976675,8524976,..,..,..,5717357,5838769,11556139,69.64180425,69.64094315
Australia,1992,..,..,..,5.050000191,3.609999895,6.110000134,23.29000092,11.72999954,31.70999908,71.66000366,84.66000366,62.18000031,46.75600052,..,..,..,51.9090004,61.77,74.08599854,83.76,62.86000061,72.87,..,..,..,3595562,41.80047121,5006220,8601726,..,..,..,5785445,5897865,11683359,70.06587132,70.06610084
Australia,1993,..,..,..,5.119999886,3.619999886,6.210000038,23.29999924,11.86999989,31.67000008,71.58999634,84.51000214,62.11999893,46.50899887,..,..,..,51.67200089,61.65,73.51100159,83.45,62.45000076,72.65,..,..,..,3618272,41.90695433,5015818,8634061,..,..,..,5836820,5940389,11777281,70.29152068,70.29231627
Australia,1994,..,..,..,4.900000095,3.519999981,5.920000076,23.17000008,11.57999992,31.71999931,71.93000031,84.90000153,62.36000061,47.64899826,..,..,..,52.57099915,62.82,73.56900024,83.56,62.93000031,73.28,..,..,..,3724618,42.32675813,5075074,8799677,..,..,..,5895272,5992925,11888253,71.45808557,71.45767971
Australia,1995,..,..,..,4.78000021,3.49000001,5.739999771,22.62999916,11.17000008,31.21999931,72.59999847,85.33999634,63.04000092,49.23099899,..,..,..,53.57600021,64.06,73.77600098,83.87,63.54000092,74.04,..,..,..,3847976,42.72663356,5158074,9006036,..,..,..,5967588,6063414,12030999,72.61982149,72.61888666
Australia,1996,..,..,..,4.840000153,3.390000105,5.940000057,22.12999916,10.89000034,30.61000061,73.02999878,85.72000122,63.45999908,49.33200073,..,..,..,53.76300049,64.33,73.54299927,83.77,63.52000046,74.12,..,..,..,3916895,42.88749292,5216125,9132954,..,..,..,6047344,6139636,12187018,73.10417174,73.1041038
Australia,1997,..,..,..,4.909999847,3.470000029,6,21.85000038,10.65999985,30.31999969,73.23999786,85.87000275,63.68000031,49.22299957,..,..,..,53.54399872,64.11,72.9509964,83.18,63.11999893,73.72,..,..,..,3950498,42.97084975,5242982,9193437,..,..,..,6120089,6211878,12331988,73.39721369,73.39726278
Australia,1998,..,..,..,4.849999905,3.450000048,5.909999847,21.51000023,10.18000031,30.12999916,73.65000153,86.37000275,63.95999908,49.66799927,..,..,..,53.59899902,64.21,72.64399719,82.96,63,73.65,..,..,..,4002708,43.08050098,5288555,9291229,..,..,..,6191662,6284158,12475819,73.78310816,73.78267076
Australia,1999,..,..,..,4.929999828,3.5,6.03000021,21.15999985,9.909999847,29.76000023,73.90000153,86.58999634,64.22000122,50.01399994,41.56977,..,..,53.58000183,64.24,72.17199707,82.6,62.75999832,73.49,..,..,..,4054173,43.21797731,5326609,9380756,..,..,..,6270338,6362444,12632763,74.23932274,74.23865262
Australia,2000,..,..,..,4.860000134,3.430000067,5.960000038,21.62000084,10.22999954,30.46999931,73.52999878,86.33999634,63.56999969,51.16799927,42.82997,..,..,54.4659996,65.33,72.03099823,82.45,63.13999939,73.95,..,..,..,4177697,43.66390568,5390157,9567850,..,..,..,6351741,6441298,12793036,75.61466722,75.61381758
Australia,2001,..,..,..,4.75,3.450000048,5.789999962,20.73999977,9.510000229,29.59000015,74.51000214,87.04000092,64.62000275,51.45800018,40.45496,..,..,55.0019989,66.01,71.79799652,82.3,63.29999924,74.21,..,..,..,4286407,43.96299541,5463611,9750034,..,..,..,6452508,6540220,12992714,76.60659289,76.60729024
Australia,2002,..,..,..,4.380000114,3.029999971,5.449999809,20.92000008,9.529999733,29.92000008,74.69999695,87.44000244,64.63999939,51.7879982,43.37071,..,..,55.18899918,66.24,71.72399902,82.25,63.36000061,74.3,..,..,..,4365057,44.06204784,5541504,9906614,..,..,..,6546361,6629516,13175884,76.9463498,76.94665131
Australia,2003,..,..,..,3.910000086,2.619999886,4.940000057,20.87999916,9.539999962,29.95000076,75.19999695,87.83999634,65.11000061,52.52999878,44.00899,..,..,55.87099838,67.09,71.48999786,82.04,63.59000015,74.61,..,..,..,4485401,44.4390999,5608003,10093366,..,..,..,6640925,6719456,13360398,78.15218919,78.15208154
Australia,2004,..,..,..,3.74000001,2.680000067,4.579999924,21.23999977,9.359999657,30.68000031,75.01999664,87.95999908,64.75,52.56600189,..,..,..,55.64500046,66.79,71.45300293,82.07,63.45999908,74.47,..,..,..,4529993,44.33723126,5687133,10217131,..,..,..,6728928,6805811,13534758,77.87636373,77.87721572
Australia,2005,..,..,..,3.579999924,2.450000048,4.489999771,21.12999916,9.31000042,30.64999962,75.29000092,88.23999786,64.87000275,53.95600128,47.21214,..,..,56.92699814,68.23,72.03500366,82.66,64.40000153,75.48,..,..,..,4704825,44.67285153,5826883,10531732,..,..,..,6824299,6904284,13728581,79.02685534,79.02622294
Australia,2006,..,..,..,3.410000086,2.359999895,4.269999981,21.28000069,9.069999695,31.18000031,75.30999756,88.56999969,64.55000305,54.65100098,51.53734,..,..,57.47800064,68.89,72.18699646,82.71,64.76000214,75.84,..,..,..,4830062,44.81373498,5948058,10778084,..,..,..,6940314,7027265,13967584,79.62375976,79.62348029
Australia,2007,..,..,..,3.319999933,2.269999981,4.170000076,21.18000031,8.859999657,31.14999962,75.5,88.87000275,64.68000031,55.25,51.42522,..,..,58.02799988,69.45,72.45800018,82.91,65.18000031,76.23,..,..,..,4913062,44.90212821,6028640,10941713,..,..,..,6993095,7090020,14083094,80.0850144,80.08550267
Australia,2008,..,..,..,3.309999943,2.220000029,4.190000057,21.62000084,9.31000042,31.65999985,75.06999969,88.47000122,64.15000153,55.83399963,48.95798,..,..,58.50400162,69.98,72.56300354,82.97,65.48000336,76.53,..,..,..,5057300,45.01583962,6177084,11234490,..,..,..,7136720,7245568,14382253,80.62511027,80.62516803
Australia,2009,..,..,..,3.230000019,2.220000029,4.079999924,21.13999939,8.899999619,31.27000046,75.62999725,88.88999939,64.66000366,55.5359993,46.76101,..,..,58.70700073,70.14,72.24700165,82.51,65.43000031,76.37,86.72000122,82.58999634,91.79000092,5183907,45.17187711,6292076,11475961,..,..,..,7280709,7398431,14679103,81.25873655,81.25864111
Australia,2010,..,..,..,3.230000019,2.279999971,4.010000229,20.97999954,8.609999657,31.10000038,75.79000092,89.09999847,64.90000153,55.41400146,48.08864,..,..,58.56499863,69.97,72.30500031,82.83,65.38999939,76.45,86.33000183,81.87999725,91.79000092,5257738,45.07409391,6406933,11664656,..,..,..,7385446,7506055,14891504,80.99716255,80.99778899
Australia,2011,..,..,..,2.819999933,1.889999986,3.589999914,20.82999992,8.529999733,30.96999931,76.34999847,89.58000183,65.44000244,55.69599915,45.91507,..,..,58.81600189,70.44,72.11599731,82.77,65.41999817,76.65,86.63999939,82.29000092,92.11000061,5356176,45.26556815,6476533,11832782,..,..,..,7469448,7572959,15042394,81.55749637,81.55743675
Australia,2012,..,..,..,2.799999952,1.919999957,3.539999962,20.70999908,8.359999657,30.95999908,76.48999786,89.72000122,65.5,55.59899902,..,..,..,58.72499847,70.35,71.67500305,82.4,65.15000153,76.41,86.86000061,82.44000244,92.23999786,5449654,45.41801099,6549192,11998883,..,..,..,7584244,7666241,15250481,81.93232783,81.93224273
Australia,2013,28.98098946,24.46846008,26.74378967,2.619999886,1.669999957,3.410000086,20.45000076,8.300000191,30.62999916,76.93000031,90.02999878,65.94999695,55.35699844,51.42857,..,..,58.64400101,70.42,71.34700012,82.33,64.94000244,76.4,82.58000183,78.25,88.02999878,5546628,45.54759443,6631009,12177653,..,..,..,7698697,7757084,15455787,82.19546849,82.19638718
Australia,2014,30.31315041,26.87869072,28.61512947,2.799999952,1.830000043,3.619999886,20.29000092,8.109999657,30.53000069,76.91999817,90.05999756,65.84999847,54.99599838,51.24046,..,..,58.61399841,70.54,70.90599823,82.12,64.69999695,76.34,81.27999878,77.04000092,86.44999695,5635407,45.73957499,6685223,12320637,..,..,..,7793452,7829949,15623408,82.66437238,82.66385349
Australia,2015,31.80501938,27.72055054,29.78425026,2.640000105,1.850000024,3.309999943,19.38999939,7.659999847,29.34000015,77.97000122,90.48999786,67.34999847,55.49300003,54.3279,..,..,59.07699966,71.27,71.05000305,82.73,65,77.01,82.08999634,78.22000122,86.76000214,5766874,45.92717338,6789654,12556562,..,..,..,7880342,7899670,15780014,83.14848294,83.14812724
Australia,2016,32.17259979,27.83823013,30.02980995,2.619999886,1.679999948,3.430000067,19.36000061,7.900000095,29.17000008,78.01999664,90.41999817,67.41000366,55.8769989,..,..,..,59.30500031,71.64,70.55799866,82.4,64.87000275,77.02,81.41999817,77.19999695,86.68000031,5877426,46.21154153,6841095,12718524,..,..,..,7965067,7978294,15943398,84.05142072,84.05099353
Australia,2017,34.30860138,28.38343048,31.39118958,2.599999905,1.649999976,3.410000086,19.43000031,7.630000114,29.60000038,77.97000122,90.72000122,66.98999786,56.42200089,58.46338,..,..,59.81399918,72.34,70.64700317,82.68,65.16999817,77.51,81.80000305,78.19999695,86.26000214,6021166,46.4011509,6955251,12976329,..,..,..,8055501,8066288,16121831,84.66601057,84.66543557
Australia,2018,34.78239822,28.62672997,31.74933052,2.619999886,1.679999948,3.440000057,19.88999939,8.149999619,30.09000015,77.5,90.18000031,66.48000336,57.23899841,..,..,..,60.45600128,73.18,70.92099762,82.95,65.62999725,78.07,..,..,..,6170760,46.57311981,7078886,13249617,..,..,..,8132842,8144071,16276948,85.24414956,85.24521203
Australia,2019,35.46197891,30.64226913,33.09477997,2.559999943,1.710000038,3.289999962,19.05999947,7.449999809,29.17000008,78.37999725,90.83000183,67.54000092,57.82099915,..,..,..,60.92900085,73.82,71.08399963,83.2,65.94999695,78.51,..,..,..,6307939,46.71102826,7196170,13504175,..,..,..,8212123,8225720,16437853,85.71408639,85.71428112
Australia,2020,38.29430008,31.62220955,35.0234108,..,..,..,..,..,..,..,..,..,56.34999847,..,..,..,60.17300034,..,69.99700165,..,65.02999878,..,..,..,..,6309137,46.78672155,7175682,13484888,..,..,..,8276794,8293954,16570748,85.96511125,85.96516033
Australia,2021,..,..,..,..,..,..,..,..,..,..,..,..,58.12400055,..,..,..,61.05699921,..,70.54699707,..,65.7480011,..,..,..,..,6468989,46.95554916,7307258,13776836,..,..,..,..,..,..,86.54797758,86.67705451
Bangladesh,1990,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.63699913,25.24,88.91899872,89.6,59.04100037,58.68,..,..,..,7634103,21.64305912,27638729,35272754,..,..,..,27146881,29353349,56500226,29.9564767,..
Bangladesh,1991,..,..,..,69.51000214,90.65000153,64.01000214,13.57999992,7.75,15.10000038,16.90999985,1.610000014,20.88999939,26.1439991,..,..,..,26.70000076,25.37,88.81600189,89.53,58.99200058,58.68,..,..,..,7890457,21.73109098,28419080,36309530,25.83897972,44.31428146,35.31930161,27971978,30203312,58175247,30.06215118,70.83663353
Bangladesh,1992,..,..,..,68.90000153,89.88999939,63.38000107,12.71000004,7.769999981,14.01000023,18.38999939,2.349999905,22.60000038,26.23399925,..,..,..,26.80800056,25.55,88.70700073,89.45,58.95999908,58.7,..,..,..,8169624,21.85095115,29218225,37387956,..,..,..,28826906,31081319,59908173,30.22083978,..
Bangladesh,1993,..,..,..,68.12000275,88.80000305,62.61999893,11.88000011,7.769999981,12.97000027,20,3.440000057,24.40999985,26.38599968,..,..,..,26.95700073,25.77,88.58899689,89.38,58.94200134,58.75,..,..,..,8471983,21.99961475,30038015,38509688,..,..,..,29712464,31989885,61702311,30.4292877,..
Bangladesh,1994,..,..,..,67.22000122,87.26999664,61.81999969,11.06999969,7.710000038,11.97000027,21.70999908,5.019999981,26.20999908,26.56999969,..,..,..,27.13899994,26.02,88.46299744,89.29,58.93700027,58.8,..,..,..,8796788,22.17031801,30881821,39678222,..,..,..,30630469,32931586,63562040,30.67836353,..
Bangladesh,1995,..,..,..,66.02999878,85.15000153,60.79999924,10.39999962,7.619999886,11.15999985,23.57999992,7.230000019,28.04000092,26.76499939,..,..,..,27.34900093,26.31,88.32700348,89.21,58.94200134,58.88,..,..,..,9144105,22.35964787,31751660,40895568,..,..,..,31582499,33908624,65491120,30.96335192,..
Bangladesh,1996,..,..,..,64.62999725,82.26999664,59.74000168,9.779999733,7.460000038,10.42000008,25.60000038,10.27000046,29.84000015,26.93600082,..,..,..,27.52000046,26.53,88.08200073,88.99,58.86999893,58.84,..,..,..,9490689,22.54813755,32600339,42090789,..,..,..,32538514,34869988,67408491,31.24361417,62.93375312
Bangladesh,1997,..,..,..,64.86000061,81.48000336,60.20000076,9.93999958,7.550000191,10.60999966,25.20000076,10.97000027,29.19000053,27.0529995,..,..,..,27.72100067,26.79,87.82700348,88.78,58.81100082,58.83,..,..,..,9859999,22.75500453,33470810,43331123,..,..,..,33523920,35865345,69389246,31.56318623,..
Bangladesh,1998,..,..,..,64.93000031,80.65000153,60.45999908,10.15999985,7.75,10.85000038,24.90999985,11.60000038,28.69000053,27.17499924,..,..,..,27.93700027,27.08,87.56500244,88.56,58.75699997,58.83,..,..,..,10246145,22.97148113,34357345,44603763,..,..,..,34531973,36886973,71418923,31.90429909,..
Bangladesh,1999,..,..,..,64.94000244,79.79000092,60.65999985,10.39999962,8.06000042,11.06999969,24.67000008,12.15999985,28.27000046,27.30400085,..,..,..,28.14999962,27.37,87.29799652,88.35,58.70000076,58.84,..,..,..,10641470,23.18693114,35252426,45894258,..,..,..,35555931,37925332,73481243,32.24587131,..
