Series Name,Series Code,Country Name,Country Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.6999969482422,65.870002746582,66.0299987792969,67.9700012207031,69.4100036621094,69.5199966430664,69.7799987792969,69.8600006103516,69.75,69.4000015258789,69.8300018310547,70.1699981689453,70.5999984741211,70.5199966430664,71.2699966430664,71.9400024414063,72.1100006103516,72.3000030517578,72.2399978637695,72.3000030517578,71.3600006103516,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.1399993896484,..,..,..,..,..,..,75.2200012207031,..,..,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.8199996948242,91.1600036621094,90.8000030517578,91.379997253418,91.1800003051758,74.0899963378906,91.75,90.7900009155273,..,..,..,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Malaysia,MYS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.6600036621094,66,67.3099975585938,68.25,69.3300018310547,69.25,69.6399993896484,70.4599990844727,71.7399978637695,76.620002746582,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.6199989318848,..,..,..,..,94.0299987792969,..,81.5699996948242,..,..,92.0400009155273,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Mongolia,MNG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.0400009155273,78.1500015258789,75.6900024414063,76.0299987792969,73.6699981689453,71.9400024414063,73.5100021362305,71.8399963378906,69.6900024414063,70.0100021362305,67.3300018310547,68.4199981689453,68.7699966430664,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.9899978637695,..,66.4100036621094,66.8099975585938,65.5,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.0599975585938,..,..,..,..,..,..,..,..,67.3899993896484,..,..,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.7600021362305,82.4499969482422,83.2799987792969,83.5699996948242,84.2399978637695,83.6399993896484,83.7600021362305,83.4199981689453,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Pakistan,PAK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.4300003051758,62.7400016784668,64.6999969482422,62.6100006103516,61.4099998474121,61.3800010681152,..,64.3499984741211,61.6199989318848,69.0100021362305,..,..,61.2000007629395,64.6699981689453,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.8199996948242,65.0500030517578,65.129997253418,64.0400009155273,..,63.4900016784668,63.1599998474121,63.2999992370605,..,..,..,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.9499969482422,88.6500015258789,..,..,..,88.9000015258789,..,..,..,..,..,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Sri Lanka,LKA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.9199981689453,82.8000030517578,63.8600006103516,82.75,81.9499969482422,84.120002746582,84.7300033569336,84.0999984741211,83.2799987792969,84.5,..,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Thailand,THA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.7600021362305,87.6600036621094,87.75,85.6900024414063,85.6900024414063,85.1699981689453,84.2300033569336,83.9100036621094,83.8099975585938,82.8000030517578,81.5699996948242,..
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Vietnam,VNM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.6699981689453,86.75,87.120002746582,87.2699966430664,87.7799987792969,87.7399978637695,87.5299987792969,87.6399993896484,87.6500015258789,87.1500015258789,87.4199981689453,..
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.1800003051758,15.21399974823,15.2229995727539,15.1969995498657,15.1780004501343,15.2209997177124,15.0780000686646,14.9540004730225,14.8730001449585,14.8269996643066,14.7950000762939,14.9359998703003,15.1129999160767,15.2980003356934,15.4750003814697,15.6440000534058,15.4549999237061,15.2749996185303,15.1370000839233,15.076000213623,15.1110000610352,15.4540004730225,15.878999710083,16.7940006256104,17.7490005493164,18.746000289917,19.7980003356934,20.886999130249,21.2280006408691,21.5659999847412,16.1889991760254,14.8479995727539
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.2179985046387,51.9500007629395,51.9090003967285,51.6720008850098,52.5709991455078,53.576000213623,53.7630004882813,53.5439987182617,53.5989990234375,53.5800018310547,54.4659996032715,55.0019989013672,55.1889991760254,55.8709983825684,55.6450004577637,56.9269981384277,57.4780006408691,58.0279998779297,58.5040016174316,58.7070007324219,58.564998626709,58.8160018920898,58.7249984741211,58.6440010070801,58.6139984130859,59.0769996643066,59.3050003051758,59.8139991760254,60.4560012817383,60.9290008544922,60.1730003356934,61.056999206543
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.636999130249,26.7000007629395,26.8080005645752,26.9570007324219,27.1389999389648,27.3490009307861,27.5200004577637,27.7210006713867,27.9370002746582,28.1499996185303,28.3449993133545,28.4659996032715,28.5820007324219,28.6889991760254,28.7849998474121,28.8759994506836,28.8799991607666,29.2719993591309,29.6709995269775,30.07200050354,30.4740009307861,30.8729991912842,31.2730007171631,31.6770000457764,32.0859985351563,32.5029983520508,32.9309997558594,36.109001159668,36.242000579834,36.3110008239746,34.5449981689453,34.8689994812012
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.6910018920898,58.576000213623,58.4729995727539,58.3790016174316,58.2840003967285,58.1980018615723,58.5909996032715,59.0880012512207,59.6520004272461,60.2630004882813,60.9109992980957,61.6500015258789,62.4150009155273,63.1790008544922,63.9020004272461,64.556999206543,64.8629989624023,65.161003112793,65.443000793457,65.6969985961914,63.4150009155273,62.4090003967285,63.0610008239746,58.3190002441406,54.076000213623,55.1059989929199,54.9249992370605,54.6430015563965,54.2910003662109,53.9169998168945,50.9020004272461,51.625
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.7030029296875,76.5350036621094,76.3980026245117,76.3809967041016,78.4459991455078,78.1480026245117,78.0220031738281,77.9700012207031,77.8779983520508,77.4410018920898,76.4789962768555,81.8690032958984,79.870002746582,77.7490005493164,75.5059967041016,75.2119979858398,74.931999206543,74.6709976196289,76.0309982299805,77.3769989013672,81.2730026245117,81.8440017700195,78.3570022583008,74.4000015258789,74.3870010375977,73.4160003662109,75.9150009155273,76.4209976196289,76.2610015869141,76.1159973144531,73.8059997558594,73.9599990844727
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.0220031738281,72.7779998779297,72.5319976806641,72.2850036621094,72.0370025634766,71.7880020141602,71.5380020141602,71.286003112793,71.0329971313477,70.7779998779297,70.5220031738281,69.8679962158203,69.2060012817383,68.536003112793,67.8570022583008,67.1699981689453,66.4759979248047,65.7740020751953,65.0650024414063,64.3489990234375,63.6259994506836,63.8160018920898,63.6809997558594,63.5670013427734,63.568000793457,63.564998626709,63.4679985046387,63.2919998168945,63.1139984130859,63.0139999389648,61.818000793457,61.6119995117188
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.6269989013672,47.806999206543,46.2970008850098,46.5740013122559,47.2519989013672,47.5359992980957,47.8079986572266,48.0550003051758,48.7099990844727,48.8440017700195,48.9799995422363,50.6529998779297,51.935001373291,51.5950012207031,51.8160018920898,51.9150009155273,52.6269989013672,53.0620002746582,53.148998260498,53.2410011291504,51.9080009460449,52.943000793457,53.5289993286133,54.4790000915527,54.5349998474121,54.7210006713867,54.7799987792969,55.0499992370605,55.1049995422363,54.9389991760254,54.1629981994629,53.523998260498
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,India,IND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.443000793457,30.4529991149902,30.4930000305176,30.5699996948242,30.6919994354248,30.6560001373291,30.621000289917,30.5839996337891,30.5480003356934,30.511999130249,30.4769992828369,30.7709999084473,31.0650005340576,31.3619995117188,31.6580009460449,31.9549999237061,30.7119998931885,29.4899997711182,28.2900009155273,27.1140003204346,25.9650001525879,24.5090007781982,23.0990009307861,22.6499996185303,22.2080001831055,21.7749996185303,21.3509998321533,20.9340000152588,20.5259990692139,21.1790008544922,18.6030006408691,19.2329998016357
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.3709983825684,49.4259986877441,50.2820014953613,49.3450012207031,50.6069984436035,50.6209983825684,50.6290016174316,49.7910003662109,51.0519981384277,51.1279983520508,51.6310005187988,49.9449996948242,48.007999420166,47.8019981384277,47.189998626709,46.0340003967285,45.9599990844727,49.7910003662109,50.3330001831055,50.2509994506836,50.9230003356934,50.9370002746582,51.4449996948242,50.673999786377,50.5989990234375,50.7350006103516,50.9090003967285,51.9640007019043,53.0900001525879,53.9249992370605,53.1759986877441,53.7039985656738
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.076000213623,50.673999786377,50.7159996032715,50.2820014953613,50.1430015563965,49.9449996948242,49.9879989624023,50.3870010375977,50.0509986877441,49.5950012207031,49.2109985351563,49.0740013122559,48.4770011901855,48.1829986572266,48.1790008544922,48.2999992370605,48.4070014953613,48.3919982910156,48.3689994812012,48.439998626709,48.3419990539551,48.0929985046387,48.0299987792969,48.8359985351563,49.1319999694824,49.5690002441406,50.2620010375977,51.0950012207031,52.4440002441406,53.3230018615723,53.181999206543,53.2999992370605
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.5960006713867,76.8330001831055,77.2009963989258,77.4649963378906,77.625,77.8899993896484,78.1060028076172,78.4749984741211,78.5660018920898,78.3270034790039,78.3470001220703,78.2129974365234,78.1959991455078,78.1500015258789,78.0920028686523,77.9560012817383,78.0350036621094,78.1169967651367,78,78.0630035400391,78.1060028076172,78.088996887207,78.0500030517578,78.0230026245117,77.9970016479492,78.0719985961914,77.9189987182617,78.1050033569336,78.3270034790039,78.4079971313477,77.5009994506836,77.1849975585938
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.7210006713867,46.8680000305176,46.8530006408691,46.8139991760254,47.5810012817383,48.1559982299805,48.6549987792969,49.5499992370605,46.8429985046387,47.4029998779297,49.1829986572266,49.810001373291,50.2309989929199,49.3190002441406,50.5499992370605,50.6300010681152,50.8720016479492,50.7890014648438,50.5019989013672,49.6780014038086,49.8950004577637,50.0810012817383,50.298999786377,50.6209983825684,51.8030014038086,52.2960014343262,52.515998840332,53.0289993286133,53.1370010375977,53.7369995117188,53.0719985961914,53.390998840332
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.9449996948242,80.8860015869141,80.7740020751953,80.6460037231445,80.4300003051758,80.2539978027344,80.0289993286133,79.802001953125,79.572998046875,79.3420028686523,79.109001159668,78.875,78.6399993896484,78.4029998779297,78.1640014648438,77.9229965209961,77.6780014038086,77.4300003051758,77.1809997558594,76.9280014038086,76.6729965209961,76.5319976806641,76.3980026245117,76.2730026245117,76.1640014648438,76.0699996948242,75.9899978637695,75.9189987182617,75.8619995117188,75.8270034790039,75.0279998779297,74.7850036621094
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.5190010070801,46.0089988708496,46.7929992675781,48.3709983825684,49.9539985656738,51.5369987487793,53.1080017089844,54.6710014343262,54.5279998779297,55.9889984130859,56.7060012817383,56.507999420166,56.3269996643066,53.1660003662109,54.7779998779297,56.8860015869141,58.9860000610352,62.9150009155273,64.4580001831055,66.5350036621094,66.0070037841797,67.4660034179688,66.7620010375977,67.5550003051758,68.2470016479492,68.2310028076172,67.3300018310547,66.2030029296875,66.8270034790039,66.5559997558594,65.838996887207,65.8190002441406
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Malaysia,MYS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.443000793457,45.3919982910156,46.2070007324219,46.6030006408691,45.9630012512207,45.3160018920898,46.3730010986328,45.8629989624023,44.9620018005371,44.8849983215332,45.4109992980957,45.2569999694824,44.814998626709,45.3740005493164,44.7210006713867,43.9109992980957,43.9949989318848,43.7400016784668,43.0890007019043,43.6580009460449,43.4949989318848,45.0050010681152,46.523998260498,49.2039985656738,50.1279983520508,50.4669990539551,50.6230010986328,50.9580001831055,51.3730010986328,51.7400016784668,51.4739990234375,51.1879997253418
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.1800003051758,21.6800003051758,23.2450008392334,24.8659992218018,26.5349998474121,28.2399997711182,30.0480003356934,31.8899993896484,33.7599983215332,35.6510009765625,37.556999206543,37.4420013427734,37.318000793457,37.1940002441406,37.0800018310547,36.9790000915527,36.8870010375977,36.7980003356934,36.6969985961914,36.5660018920898,36.9230003356934,37.2000007629395,37.4690017700195,37.7369995117188,38.0110015869141,38.298999786377,38.5909996032715,38.0460014343262,36.8520011901855,35.3330001831055,33.8520011901855,34.326000213623
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Mongolia,MNG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.0429992675781,56.3969993591309,56.7980003356934,56.9580001831055,56.9020004272461,56.6870002746582,56.6279983520508,56.5089988708496,56.4109992980957,56.326000213623,56.3110008239746,56.2410011291504,56.1209983825684,55.9410018920898,55.859001159668,55.7770004272461,55.6949996948242,55.6119995117188,53.9819984436035,53.7229995727539,54.1809997558594,54.9230003356934,54.382999420166,53.8419990539551,54.3860015869141,53.9039993286133,52.851001739502,53.8870010375977,51.9360008239746,53.2449989318848,51.5219993591309,51.4949989318848
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.5500030517578,64.7480010986328,63.9620018005371,63.507999420166,62.9339981079102,62.4210014343262,61.9690017700195,61.5970001220703,61.2130012512207,60.4269981384277,59.4519996643066,58.6790008544922,57.8800010681152,56.992000579834,56.1609992980957,55.3720016479492,54.6520004272461,54.0279998779297,53.5250015258789,53.0349998474121,52.6160011291504,52.390998840332,52.0999984741211,51.7789993286133,51.4879989624023,51.2470016479492,49.2859992980957,47.3269996643066,48.0670013427734,45.6310005187988,43.0620002746582,40.9869995117188
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.2580032348633,81.3170013427734,81.4039993286133,81.5120010375977,81.6370010375977,81.7710037231445,81.745002746582,81.7369995117188,81.75,81.7939987182617,81.5540008544922,81.2949981689453,81.0319976806641,80.7649993896484,80.495002746582,80.2239990234375,79.9449996948242,79.6630020141602,79.3840026855469,79.4970016479492,79.6640014648438,79.9150009155273,80.2929992675781,80.7460021972656,81.1900024414063,81.572998046875,81.9649963378906,82.2429962158203,82.4150009155273,82.4929962158203,75.697998046875,78.6910018920898
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.9410018920898,54.2639999389648,54.0019989013672,53.9109992980957,55.0460014343262,55.8120002746582,57.1749992370605,57.0810012817383,56.976001739502,57.2729988098145,57.4150009155273,58.2690010070801,58.9869995117188,59.3059997558594,59.7859992980957,60.7840003967285,61.2890014648438,61.6590003967285,61.9230003356934,61.8250007629395,61.564998626709,61.9780006408691,62.0499992370605,62.4269981384277,63.3730010986328,63.4160003662109,64.6650009155273,65.5650024414063,65.7939987182617,65.8730010986328,65.2509994506836,65.0749969482422
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Pakistan,PAK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.2259998321533,13.8059997558594,13.8170003890991,14.1840000152588,14.4799995422363,12.5520000457764,13.7019996643066,14.9289999008179,15.2360000610352,15.6750001907349,16.1229991912842,16.1669998168945,16.2119998931885,16.9750003814697,17.757999420166,18.3279991149902,18.923999786377,19.2859992980957,19.8239994049072,20.9519996643066,22.003999710083,22.1860008239746,22.4640007019043,22.7450008392334,22.9440002441406,23.9360008239746,23.1119995117188,22.3020000457764,21.507999420166,21.4179992675781,20.6089992523193,20.7269992828369
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.226001739502,47.3440017700195,47.4290008544922,47.4459991455078,47.3779983520508,47.298999786377,47.181999206543,47.0880012512207,47.1910018920898,47.1669998168945,47.0970001220703,47.076000213623,47.0330009460449,46.9449996948242,46.6259994506836,47.367000579834,47.4980010986328,47.4809989929199,46.9249992370605,47.7150001525879,47.9690017700195,48.7980003356934,48.3359985351563,48.2410011291504,49.023998260498,48.5900001525879,48.1199989318848,44.9799995422363,45.4690017700195,46.5029983520508,42.6199989318848,43.8359985351563
